2. TRIFD,34. CHEMICAL
00683LBNCXRD362,"['Dichlorodifluoromethane (CFC-12)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00688MRCKSRD2KM,"['Acetone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00692CRBGNSTATE,"['Copper', 'Phenol', 'Silver']"
00692CRBGPSTATA,['Copper']
00694CHLLNCABOC,['Copper']
00694HRVYHRD686,['Zinc compounds']
00694THMSBCABOC,['Copper']
00701CYNMDPRROA,"['Aniline', 'Benzene', 'Chloroethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'N,N-Dimethylformamide', 'N-Methyl-2-pyrrolidone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene']"
00701DPNTGHIGHW,"['Chlorimuron-ethyl', 'Chlorsulfuron', 'Ethylbenzene', 'Ethylene glycol', 'Methanol', 'Metribuzin', 'Toluene', 'Tribenuron-methyl', 'Xylene (mixed isomers)']"
00701DPNTLHIGHW,"['Certain glycol ethers', 'Ethylenebisdithiocarbamic acid, salts and esters', 'Formaldehyde', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Lead compounds', 'Methanol', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Silver compounds', 'Sodium dimethyldithiocarbamate', 'Trichloroethylene']"
00701DVSGCSTATE,"['2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)', 'Dichlorodifluoromethane (CFC-12)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
00701GHBSSPOBOX,"['Acetone', 'Toluene']"
00701RCHPRSTATE,"['Ammonia', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Methyl ethyl ketone', 'Naphthalene', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene']"
00701RTHPHRDNO2,"['Methanol', 'Phosphoric acid']"
00701SCHRNROAD6,"['1,4-Dioxane', 'Acetone', 'Ammonia', 'Certain glycol ethers', 'Chloroform', 'Dichloromethane', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Hydrogen fluoride', 'Methanol', 'N,N-Dimethylformamide', 'Ozone', 'Pyridine', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Triethylamine']"
00701TNLBRHIGHW,"['Acetone', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol']"
00705BXTRHMERCE,"['Di(2-ethylhexyl) phthalate', 'Ethylene glycol', 'Ethylene oxide', 'Freon 113 (CFC-113)']"
00706BXTRFCARR3,['Di(2-ethylhexyl) phthalate']
00707CRBGNSTATE,"['Copper', 'Styrene']"
00708BMBLBSTREE,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
